Name,Units,Calories,Calories From Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbs,Dietary Fiber,Total Sugars,Added Sugars,Protein,Potassium,Comments
chicken wing,1 each,109,0,7.8,2.2,0,38,36,0,0,0,0,9,76,
chicken wings publix hot & spicy,1 wing,80,45,5,1.5,0,40,250,0,0,0,0,9,0,
chocolate trinity ice cream,2/3 cup,270,0,17,9,0,40,100,26,2,22,17,5,350,
cinnamon roll,1 each,140,0,4.5,2.5,0,0,340,24,0,9,9,2,0,
cod fish,3 oz,70,5.1,0.6,0.1,0,37,46,0,0,0,0,15,351,
cod fish dinner w/brown rice,1 dinner,370,80,11,1,0,107,421,38,8,7.5,0,33,1061,
cod fish dinner w/no rice,1 dinner,185,10,1,0,0,107,411,15,5,7,0,28,911,
cod fish dinner w/wild rice,1 dinner,355,80,10,5,0,107,414,35,8,7.5,0,33,1076,
cooked chicken breast,1 cup,231,45,5,1.4,0,119,104,0,0,0,0,43,358,
cookie chocolate chip - betty crocker,1 cookie,100,0,2,1,0,0,95,19,0,12,12,1,0,1 bag makes 22 cookies
cool whip,2 Tbsp,25,20,2,2,0,0,0,2,0,1,1,0,0,
corn,1/2 cup,60,0,1,0,0,0,10,13,2,7,0,1,181,
corn on the cob,1 ear,77,0,1.06,0.2,0,0,14,17,2.4,2.9,0,2.9,243,
corn on the cob bicolor,1 ear,77,0,1.06,0.2,0,0,14,17,2.4,2.9,0,2.9,243,
corn on the cob white,1 ear,77,0,1.06,0.2,0,0,14,17,2.4,2.9,0,2.9,243,
corn on the cob yellow,1 ear,77,0,1.06,0.2,0,0,14,17,2.4,2.9,0,2.9,243,
corn yellow and white - frozen - steam fresh,2/3 cup,100,0,2,0,0,0,15,17,2,6,0,3,200,
corned beef hash - hormel,1 cup,380,220,24,10,1.5,60,970,23,2,1,1,17,0,
corned beef lunch meat,2 oz,80,25,2.5,1,0,30,490,0,0,0,0,14,0,
croutons caesar - aldi's,4 crouton 7 g,30,30,1,0,0,0,75,5,0,0,0,1,0,
crunchy taco,1 each,170,80,9,3.5,0,25,310,13,3,0,0,8,0,
crunchy taco supreme,1 each,190,100,11,4.5,0,25,340,15,3,2,0,8,0,
cuban sandwich,1 - 6 inch,699,250,31,9.8,0,92,1349,58,2,8.3,0,45,558,
cuban sandwich - publix,1 each,570,230,26,11,0,95,1780,50,2,5,0,35,558,
curly egg noodles,1 package (340 g),469,0,7,1.4,0,99,17,85.5,4.1,1.4,0,15.4,129,
dale's low sodium,1 Tbsp,40,25,3,0,0,0,700,2,0,1,0,2,90,
dale's steak seasoning,1 Tbsp,15,0,0,0,0,0,1220,2,0,0,0,2,90,
dill pickle,1 slice,0,0,0,0,0,0,108,1,0,0,0,0,0,vlasic stackers
domino's pizza,1 slice,310,0,13,5,0,25,640,35,2,4,1,12,0,domino's deluxe pizza large
drumstick ice cream cone - chocolate,1 cone,290,0,15,9,0,5,100,34,2,21,16,4,170,
drumstick ice cream cone - vanilla,1 cone,280,0,15,8,0,5,90,34,2,21,16,4,110,
drumstick ire cream cone - vanilla caramel,1 cone,310,0,15,9,0,5,100,39,2,25,21,4,110,
egg,1 large,71,45,5,1.5,0,185,70,1,0,0,0,6,67,
egg white,1 large,17,0,0.1,0,0,0,55,0.2,0,0.2,0,3.6,54,
eggplant,1 peeled,114,0,0.8,0.2,0,0,9,27,14,16,0,4.5,1049,
